20260612-000146	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20260612-000522	large_str	AddItem[/script/global/playerloginin.lua|NoFunc]			0		3831940933	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000522	ItemAdd	3831940933	thuong	SdachSM	1		1	100	1445	2802			0		0	0	0	0	Vâ L©m 2 Shiina	2	1	50001	1	98598955	2026-06-12 00:05:22	4294905825	0	0	0	-1	-1	-1
20260612-000522	ItemAdd	3831940933	thuong	SdachSM	1		1	100	1445	2802			0		0	0	0	0	S­ §å ThiÕp	2	1	587	1	-360956051	2026-06-12 00:05:22	2048	2048	2048	0	-1	-1	-1
20260612-000522	ItemAdd	3831940933	thuong	SdachSM	1		1	100	1445	2802			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	635991657	2026-06-12 00:05:22	2048	2048	2048	0	-1	-1	-1
20260612-000522	ItemAdd	3831940933	thuong	SdachSM	1		1	100	1445	2802			0		0	0	0	0	NguyÖt L­îng Thè luyÖn 	2	0	1043	1	1237430346	2026-06-12 00:05:22	2048	2048	2048	0	-1	-1	-1
20260612-000522	ItemAdd	3831940933	thuong	SdachSM	1		1	100	1445	2802			0		0	0	0	0	TiÕu ng¹o giang hå lôc	2	1	30240	1	-991502189	2026-06-12 00:05:22	2048	2048	2048	0	-1	-1	-1
20260612-000522	ItemAdd	3831940933	thuong	SdachSM	1		1	100	1445	2802			0		0	0	0	0	Tñ ¸o Thiªn BiÕn TiÕu	2	1	30494	1	677227088	2026-06-12 00:05:22	2048	2048	2048	0	-1	-1	-1
20260612-000543	large_str	AddItem[/script/ksgvn/item/item_test_card.lua|kgm_ChangeRoute]			0		1110134170	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000543	ItemAdd	1110134170	thuong	SdachSM	55		1	100	1449	2806			0		0	0	0	0	Tói quµ t©n thñ	2	1	50264	1	-300306739	2026-06-12 00:05:43	4294903590	0	0	0	-1	-1	-1
20260612-000550	large_str	AddItem[/script/ksgvn/item/item_test_card.lua|kgm_SetTangKiem]			0		1897178843	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	Tµng KiÕm Tö Kim m·o	0	103	95	200	-537818292	2026-06-12 00:05:50	18095606	19010939	24062743	7	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	Kim Lò Th­êng	0	100	95	250	1563722557	2026-06-12 00:05:50	26681735	18156500	24062139	7	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	Tµng KiÕm ¤ kim phôc	0	101	95	200	-43240510	2026-06-12 00:05:50	25503223	24388926	24062645	7	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	TiÓu Th­ Giíi ChØ	0	102	36	50	-718660757	2026-06-12 00:05:50	19011148	19075685	24058610	0	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	Tr­ëng L·o ChØ Hoµn	0	102	37	50	437803016	2026-06-12 00:05:50	1516332	8533361	24062575	0	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	Tµng KiÕm B¶o Ch©u	0	102	38	100	-1233795159	2026-06-12 00:05:50	6696495	5189380	5254502	0	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	Tµng KiÕm Kú Th¹ch	0	102	39	100	1420983710	2026-06-12 00:05:50	6696259	25564140	0	0	-1	-1	-1
20260612-000550	ItemAdd	1897178843	thuong	SdachSM	55		1	100	1456	2811			0		0	0	0	0	Tµng KiÕm Kim Ên	0	102	40	100	1417029258	2026-06-12 00:05:50	6696639	23935481	0	0	-1	-1	-1
20260612-000553	ItemConsume	ExpendIdx	thuong	SdachSM	55		1	100	1460	2813			0		0	0	0	0	Tói quµ t©n thñ	2	1	50264	1	-300306739	2026-06-12 00:05:43	4294903590	0	0	0	2	1	1
