T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ  (1-10 m«n ph¸i, 10 c¶ bé trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	
HiÖp ThiÕu bè y	0	100	1	10	1	0	80	18;5						1	1	1		\image\item\cloth\man1_arm_001a1.spr	\image\item\cloth\man1_arm_001a0.spr	Trang phôc th«ng th­êng, rÊt dÔ mua	±ê×¼ÄĞÇû¸É001	Upper Garment		1	0	0		0						
H¾c T¹o bè y	0	100	2	10	1	0	90	20;5						6	1	1		\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	§­îc may tõ lo¹i v¶i mÒm, nhÑ nh­ng rÊt bÒn ch¾c. C¸c thİch kh¸ch th­êng sö dông.	±ê×¼ÄĞÇû¸É002	Upper Garment		1	0	0		0						
Tö C©m Bè Y	0	100	3	20	258	0	120	23;6						10	1	1		\image\item\cloth\man1_arm_003a1.spr	\image\item\cloth\man1_arm_003a0.spr	§­îc may tõ lo¹i v¶i tõng ng©m trong dÇu c¸, mÒm m¹i, kh«ng thÊm n­íc.	±ê×¼ÄĞÇû¸É003	Upper Garment		2	0	0		0						
Bµn Long Tó	0	100	4	10	305	0	100	6;23						11	1	1		\image\item\cloth\man1_arm_004a1.spr	\image\item\cloth\man1_arm_004a0.spr	BÒ ngoµi tr«ng ®¬n gi¶n nh­ng bªn trong cã Èn chøa linh lùc, phßng ngù cùc tèt.	±ê×¼ÄĞÇû¸É012	Upper Garment		2	0	0		0						
Th­¬ng Lang y	0	100	5	40	724	0	140	25;6						18	1	1		\image\item\cloth\man1_arm_005a1.spr	\image\item\cloth\man1_arm_005a0.spr	Lo¹i gi¸p chØ che mét phÇn vai, c¸c cao thñ th­êng sö dông.	±ê×¼ÄĞÇû¸É004	Upper Garment		2	0	0		0						
YÓm T©m gi¸p	0	100	6	20	766	0	110	6;25						19	1	1		\image\item\cloth\man1_arm_006a1.spr	\image\item\cloth\man1_arm_006a0.spr	§­îc lµm tõ da thó bªn ngoµi cã d¸t ®ång, phßng ngù cùc tèt.	±ê×¼ÄĞÇû¸É008	Upper Garment		2	0	0		0						
ThÇn Hµnh phôc	0	100	7	60	992	0	160	28;7						27	1	1		\image\item\cloth\man1_arm_007a1.spr	\image\item\cloth\man1_arm_007a0.spr	§­îc dÖt tõ T¬ t»m bÒn ch¾c v« song	±ê×¼ÄĞÇû¸É015	Upper Garment		3	0	0		0						
Thanh S­¬ng bµo	0	100	8	30	1046	0	120	7;28						28	1	1		\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Èn ch­a phĞp thuËt ®¹o gia, cã thÓ chèng ®ì kiÕm khİ cña c¸c cao thñ	±ê×¼ÄĞÇû¸É010	Upper Garment		3	0	0		0						
Tham Lang y	0	100	9	80	1527	0	180	30;8						35	1	1		\image\item\cloth\man1_arm_009a1.spr	\image\item\cloth\man1_arm_009a0.spr	§­îc may tõ Da hæ, oai phong lÉm liÖt, ngµn vµng khã mua.	±ê×¼ÄĞÇû¸É005	Upper Garment		3	0	0		0						
Xİch §ång trô	0	100	10	40	1620	0	140	8;30						36	1	1		\image\item\cloth\man1_arm_010a1.spr	\image\item\cloth\man1_arm_010a0.spr	§­îc lµm tõ da thó bªn ngoµi cã d¸t ®ång, phßng ngù cùc tèt.	±ê×¼ÄĞÇû¸É007	Upper Garment		3	0	0		0						
