ItemIndex	BodyType	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Charm
1	1	Tinh H¶i Linh	0;121;1	7	378;1620;2400	50			1	1	400
1	2	Tinh H¶i Linh	0;121;2	7	378;1620;2400	50			1	1	400
1	3	Tinh H¶i Linh	0;121;3	7	378;1620;2400	50			1	1	400
1	4	Tinh H¶i Linh	0;121;4	7	378;1620;2400	50			1	1	400
2	1	Tinh H¶i Linh	0;119;1	7	567;2430;3600	50			1	1	600
2	2	Tinh H¶i Linh	0;119;2	7	567;2430;3600	50			1	1	600
2	3	Tinh H¶i Linh	0;119;3	7	567;2430;3600	50			1	1	600
2	4	Tinh H¶i Linh	0;119;4	7	567;2430;3600	50			1	1	600
3	1	Tinh H¶i Linh	0;120;1	7	1418;6075;9000	50			1	1	1500
3	2	Tinh H¶i Linh	0;120;2	7	1418;6075;9000	50			1	1	1500
3	3	Tinh H¶i Linh	0;120;3	7	1418;6075;9000	50			1	1	1500
3	4	Tinh H¶i Linh	0;120;4	7	1418;6075;9000	50			1	1	1500
4	1	Fresh Peach Branch	0;120;134	7	142;608;900	10			2	1	150
4	2	Fresh Peach Branch	0;120;135	7	142;608;900	10			2	1	150
4	3	Fresh Peach Branch	0;120;136	7	142;608;900	10			2	1	150
4	4	Fresh Peach Branch	0;120;137	7	142;608;900	10			2	1	150
5	1	Con C¸ (§á)	0;120;126	7	142;608;900	10			3	1	150
5	2	Con C¸ (§á)	0;120;127	7	142;608;900	10			3	1	150
5	3	Con C¸ (§á)	0;120;128	7	142;608;900	10			3	1	150
5	4	Con C¸ (§á)	0;120;129	7	142;608;900	10			3	1	150
6	1	Con C¸ (§á)	0;120;130	7	189;810;1200	10			3	1	200
6	2	Con C¸ (§á)	0;120;131	7	189;810;1200	10			3	1	200
6	3	Con C¸ (§á)	0;120;132	7	189;810;1200	10			3	1	200
6	4	Con C¸ (§á)	0;120;133	7	189;810;1200	10			3	1	200
7	0	ThiÕu L©m Tinh Kú	0;120;42	7	1418;6075;9000	10			4	1	40
8	0	ThiÕu L©m Tinh Kú	0;120;43	7	1418;6075;9000	10			4	1	60
9	0	ThiÕu L©m Tinh Kú	0;120;44	7	1418;6075;9000	10			4	1	150
10	0	§­êng M«n Tinh Kú	0;120;45	7	1418;6075;9000	10			5	1	40
11	0	§­êng M«n Tinh Kú	0;120;46	7	1418;6075;9000	10			5	1	60
12	0	§­êng M«n Tinh Kú	0;120;47	7	1418;6075;9000	10			5	1	150
13	0	Nga My Tinh Kú	0;120;48	7	1418;6075;9000	10			6	1	40
14	0	Nga My Tinh Kú	0;120;49	7	1418;6075;9000	10			6	1	60
15	0	Nga My Tinh Kú	0;120;50	7	1418;6075;9000	10			6	1	150
16	0	C¸i Bang Tinh Kú	0;120;51	7	1418;6075;9000	10			7	1	40
17	0	C¸i Bang Tinh Kú	0;120;52	7	1418;6075;9000	10			7	1	60
18	0	C¸i Bang Tinh Kú	0;120;53	7	1418;6075;9000	10			7	1	150
19	0	Vâ §ang Tinh Kú	0;120;54	7	1418;6075;9000	10			8	1	40
20	0	Vâ §ang Tinh Kú	0;120;55	7	1418;6075;9000	10			8	1	60
21	0	Vâ §ang Tinh Kú	0;120;56	7	1418;6075;9000	10			8	1	150
22	0	D­¬ng M«n Tinh Kú	0;120;57	7	1418;6075;9000	10			9	1	40
23	0	D­¬ng M«n Tinh Kú	0;120;58	7	1418;6075;9000	10			9	1	60
24	0	D­¬ng M«n Tinh Kú	0;120;59	7	1418;6075;9000	10			9	1	150
25	0	Ngò §éc Tinh Kú	0;120;60	7	1418;6075;9000	10			10	1	40
26	0	Ngò §éc Tinh Kú	0;120;61	7	1418;6075;9000	10			10	1	60
27	0	Ngò §éc Tinh Kú	0;120;62	7	1418;6075;9000	10			10	1	150
28	0	C«n L«n Tinh Kú	0;120;63	7	1418;6075;9000	10			11	1	40
29	0	C«n L«n Tinh Kú	0;120;64	7	1418;6075;9000	10			11	1	60
30	0	C«n L«n Tinh Kú	0;120;65	7	1418;6075;9000	10			11	1	150
31	0	Minh Gi¸o Tinh Kú	0;120;66	7	1418;6075;9000	10			12	1	40
32	0	Minh Gi¸o Tinh Kú	0;120;67	7	1418;6075;9000	10			12	1	60
33	0	Minh Gi¸o Tinh Kú	0;120;68	7	1418;6075;9000	10			12	1	150
34	0	Thóy Yªn Tinh Kú	0;120;69	7	1418;6075;9000	10			13	1	40
35	0	Thóy Yªn Tinh Kú	0;120;70	7	1418;6075;9000	10			13	1	60
36	0	Thóy Yªn Tinh Kú	0;120;71	7	1418;6075;9000	10			13	1	150
37	1	TÕt Thanh Minh	0;120;247	7	1418;6075;9000	10			14	1	200
37	2	TÕt Thanh Minh	0;120;248	7	1418;6075;9000	10			14	1	200
37	3	TÕt Thanh Minh	0;120;249	7	1418;6075;9000	10			14	1	200
37	4	TÕt Thanh Minh	0;120;250	7	1418;6075;9000	10			14	1	200
38	1	TÕt Thanh Minh	0;120;231	7	1418;6075;9000	10			14	1	150
38	2	TÕt Thanh Minh	0;120;232	7	1418;6075;9000	10			14	1	150
38	3	TÕt Thanh Minh	0;120;233	7	1418;6075;9000	10			14	1	150
38	4	TÕt Thanh Minh	0;120;234	7	1418;6075;9000	10			14	1	150
39	1	§ång KiÕm Thu Thñy	0;120;158	7	1418;6075;9000	10			15	1	500
39	2	§ång KiÕm Thu Thñy	0;120;159	7	1418;6075;9000	10			15	1	500
39	3	§ång KiÕm Thu Thñy	0;120;160	7	1418;6075;9000	10			15	1	500
39	4	§ång KiÕm Thu Thñy	0;120;161	7	1418;6075;9000	10			15	1	500
40	1	Hµnh NhÊt §¶m	0;120;195	7	1418;6075;9000	20			16	1	500
40	2	Hµnh NhÊt §¶m	0;120;196	7	1418;6075;9000	20			16	1	500
40	3	Hµnh NhÊt §¶m	0;120;197	7	1418;6075;9000	20			16	1	500
40	4	Hµnh NhÊt §¶m	0;120;198	7	1418;6075;9000	20			16	1	500
41	1	X¹ Thiªn Lang	0;120;142	7	1418;6075;9000	20			17	1	500
41	2	X¹ Thiªn Lang	0;120;143	7	1418;6075;9000	20			17	1	500
41	3	X¹ Thiªn Lang	0;120;144	7	1418;6075;9000	20			17	1	500
41	4	X¹ Thiªn Lang	0;120;145	7	1418;6075;9000	20			17	1	500
42	1	Hå §iÖp ChØ Diªn	0;120;100	7	1418;6075;9000	20			18	1	500
43	2	Hå §iÖp ChØ Diªn	0;120;101	7	1418;6075;9000	20			18	1	500
44	3	Hå §iÖp ChØ Diªn	0;120;102	7	1418;6075;9000	20			18	1	500
45	4	Hå §iÖp ChØ Diªn	0;120;103	7	1418;6075;9000	20			18	1	500
46	0	Vo Tuong Kim Luan	0;120;121	7	1418;6075;9000	50			19	1	1500
47	0	Vo Tuong Kim Luan	0;121;85	7	1418;6075;9000	50			19	1	400
48	0	Vo Tuong Kim Luan	0;119;97	7	1418;6075;9000	50			19	1	600
49	0	Bich Hai Lam Phong	0;120;120	7	1418;6075;9000	50			20	1	1500
50	0	Bich Hai Lam Phong	0;121;84	7	1418;6075;9000	50			20	1	400
51	0	Bich Hai Lam Phong	0;119;96	7	1418;6075;9000	50			20	1	600
52	0	Phong Háa Liªn Thµnh	0;120;122	7	1418;6075;9000	50			21	1	1500
