ID	skillID	Level	Name	gdp	time	tool	cost	award	exp
1101	1	1	Pine Wood	2,2,41,1	15	50	100	200,300	100
1102	1	1	Poplar Wood	2,2,42,1	15	50	100	200,300	100
1103	1	1	Cedar Wood	2,2,43,1	15	50	100	200,300	100
1104	1	1	Iron Wood	2,2,44,1	15	50	100	200,300	100
1201	1	2	Phoenix Tree Wood	2,2,45,1	20	60	120	120,200	400
1202	1	2	Heavy Wood	2,2,9,1	20	60	120	120,200	400
1203	1	2	Iron Camphor Wood	2,2,10,1	20	60	120	120,200	400
1204	1	2	ÌúèëÄ¾	2,2,104,1	20	60	120	120,200	400
1301	1	3	Iron Thread Wood	2,2,11,1	25	75	150	80,120	600
1302	1	3	²¨ÂÞÄ¾	2,2,12,1	25	75	150	80,120	600
1303	1	3	Ì´Ä¾	2,2,13,1	25	75	150	80,120	600
1304	1	3	ÆÐÌáÄ¾	2,2,14,1	25	75	150	80,120	600
1305	1	3	½¨Ä¾	2,2,105,1	25	75	150	80,120	600
1401	1	4	ÓñÊ÷¸É	2,7,3,1	30	75	150	40,80	0
1402	1	4	ÆÅÂÞÄ¾¸É	2,7,6,1	30	75	150	40,80	0
1403	1	4	ÆÐÌáÄ¾¸É	2,7,7,1	30	75	150	40,80	0
2101	2	1	ºÚÈ®ÁéÑª	2,2,33,1	15	50	100	200,300	100
2102	2	1	ÇàÎÚÁéÑª	2,2,34,1	15	50	100	200,300	100
2103	2	1	Ðþº×ÁéÑª	2,2,35,1	15	50	100	200,300	100
2104	2	1	Rabbit Fur	2,9,1,1	15	50	100	200,300	100
2105	2	1	Wolf Hide	2,2,15,1	15	50	100	200,300	100
2106	2	1	Tiger Hide	2,2,16,1	15	50	100	200,300	100
2107	2	1	Snake Hide	2,2,18,1	15	50	100	200,300	100
2108	2	1	ÍÃÈâ	1,3,1,1	15	50	100	200,300	100
2109	2	1	¼¦Èâ	1,3,2,1	15	50	100	200,300	100
2201	2	2	Fox Hide	2,2,17,1	20	60	120	120,200	400
2202	2	2	°×»¢Æ¤	2,2,19,1	20	60	120	120,200	400
2203	2	2	ÐÜÕÆ	1,3,4,1	20	60	120	120,200	400
2204	2	2	White Tiger Hide	2,2,46,1	20	60	120	120,200	400
2205	2	2	Bear Hide	2,2,20,1	20	60	120	120,200	400
2206	2	2	Roc Feather Cloak	2,10,7,1	20	60	120	120,200	400
2301	2	3	ÂÊÈ»Ô­Æ¤	2,10,2,1	25	75	150	80,120	600
2302	2	3	Mountain Lion Hide	2,2,47,1	25	75	150	80,120	600
2303	2	3	ÖìÈ¸Ö®Óð	2,2,49,1	25	75	150	80,120	600
2304	2	3	Áé÷¡Ö®Æ¤	2,2,50,1	25	75	150	80,120	600
2305	2	3	µØÁúÑª	2,2,107,1	25	75	150	80,120	600
2401	2	4	°ÍÉßÔ­Æ¤	2,10,3,1	30	75	150	40,80	0
2402	2	4	°×Ô³Ö®Æ¤	2,2,48,1	30	75	150	40,80	0
2403	2	4	ÔÌÁéºÁ	2,2,109,1	30	75	150	40,80	0
3101	3	1	Silkworm Silk	2,9,2,1	15	50	100	200,300	100
3102	3	1	Five-Color Silk	2,9,3,1	15	50	100	200,300	100
3103	3	1	ºì¸ßÁ»	1,3,5,1	15	50	100	200,300	100
3104	3	1	Cnidium	1,3,9,1	15	50	100	200,300	100
3105	3	1	Tilt Pear Bean	1,3,10,1	15	50	100	200,300	100
3106	3	1	Rao Ming Bean	1,3,11,1	15	50	100	200,300	100
3111	3	1	Wood Ear Fungus	1,3,19,1	15	50	100	200,300	100
3112	3	1	Stone Mushroom	1,3,20,1	15	50	100	200,300	100
3113	3	1	Bamboo Shoot Meat	1,3,21,1	15	50	100	200,300	100
3201	3	2	Wolf Pearl Thread	2,2,52,1	20	60	120	120,200	400
3202	3	2	Blood Silkworm Silk	2,2,53,1	20	60	120	120,200	400
3203	3	2	Spirit Pearl Thread	2,2,54,1	20	60	120	120,200	400
3204	3	2	Golden Silkworm Thread	2,2,55,1	20	60	120	120,200	400
3205	3	2	½ðÊµµ¾	1,3,6,1	20	60	120	120,200	400
3206	3	2	Rongze Valley	1,3,12,1	20	60	120	120,200	400
3207	3	2	Sugarcane	1,3,13,1	20	60	120	120,200	400
3208	3	2	Yan Jing Wheat	1,3,14,1	20	60	120	120,200	400
3209	3	2	Chun He Wheat	1,3,15,1	20	60	120	120,200	400
3210	3	2	Pepper	1,3,22,1	20	60	120	120,200	400
3301	3	3	Cold Insect Silk	2,9,4,1	25	75	150	80,120	600
3302	3	3	»ðÖëË¿	2,9,5,1	25	75	150	80,120	600
3303	3	3	±ù²ÏË¿	2,9,6,1	25	75	150	80,120	600
3304	3	3	ÎÚ²ÏË¿	2,9,7,1	25	75	150	80,120	600
3305	3	3	Ìì²ÏË¿	2,2,56,1	25	75	150	80,120	600
3306	3	3	²ÊÔÆË¿	2,2,100,1	25	75	150	80,120	600
3307	3	3	Roaming Dragon Marrow	1,3,16,1	25	75	150	80,120	600
3308	3	3	·ï¹ÚËÚ	1,3,17,1	25	75	150	80,120	600
3309	3	3	Ò¡Ö¦ËÚ	1,3,18,1	25	75	150	80,120	600
3401	3	4	ÈðÂó	2,130,20,1	30	75	150	40,80	0
3402	3	4	°ëÏÄµ¾	2,130,21,1	30	75	150	40,80	0
3403	3	4	ÖñÝ¥	2,130,22,1	30	75	150	40,80	0
4101	4	1	²Øºì»¨	1,2,1,1	15	50	100	200,300	100
4102	4	1	½Û¹£	1,2,2,1	15	50	100	200,300	100
4103	4	1	Castor Bean	1,2,8,1	15	50	100	200,300	100
4201	4	2	Yellow Coptis	1,2,3,1	20	60	120	120,200	400
4202	4	2	Cicada Slough	1,2,9,1	20	60	120	120,200	400
4203	4	2	ÌïÆß	1,2,10,1	20	60	120	120,200	400
4204	4	2	Pangolin Scale	1,2,11,1	20	60	120	120,200	400
4205	4	2	Ñ©Á«×Ó	1,2,12,1	20	60	120	120,200	400
4301	4	3	Kui Xiang	1,2,4,1	25	75	150	80,120	600
