GoodsID	Genre	Detail	Particular	Num_Min	Num_Max	Level	Value	Text
ID vËt phÈm	Lo¹i lín	Ph©n lo¹i	Lo¹i nhá	Sè l­îng nhá nhÊt	Sè l­îng lín nhÊt	§é khã	Gi¸ trÞ	Name
1000	2	1	2	10	15	1	2	Rabbit Tail
1001	2	1	12	10	15	1	7	Burnt Wine
1002	2	1	11	10	15	1	9	Embroidered Flower Shoes
1003	2	1	3	10	15	1	11	Wolf Tooth
1004	2	1	6	10	15	1	11	Egg Worm
1005	2	1	5	10	15	1	16	Wolf Fur
1006	2	1	7	10	15	1	23	Wild Boar Tusk
1007	2	1	13	10	15	1	23	Beehive
1008	2	1	10	10	15	1	25	Iron Thumb Ring
1009	2	1	9	5	10	1	32	Wenlu Stone
1010	2	1	16	5	10	1	32	Hou'er Fruit
1011	2	1	20	5	10	1	32	ThiÕt Th­¬ng §Çu
1012	2	1	21	5	10	1	37	Sheath Saber
1013	2	1	19	5	10	1	39	Tiger Tail
1014	2	1	15	5	10	2	40	Blue Brocade
1015	2	1	23	5	10	2	40	Rotten Bone
1016	2	1	24	5	10	2	46	S­u ThÇn Ký
1017	2	1	35	5	10	2	52	Roasted Cake
1018	2	1	28	5	8	2	56	Bird Egg
1019	2	1	33	5	8	2	58	Êt Méc Bµi
1020	2	1	31	5	8	2	61	Méc Thñ
1021	2	1	36	5	8	2	64	Gia Ph¸p bæng
1022	2	1	25	5	8	2	68	Gi¸p Méc Bµi
1023	2	1	27	5	8	2	68	Yin Spirit
1024	2	1	43	5	8	2	68	Grass Sandals
1025	2	1	29	5	8	2	72	B¶o B×nh
1026	2	1	30	5	8	2	72	Bronze Sword
1027	2	1	58	5	8	2	72	Bat Wing
1028	2	1	41	5	8	2	77	Kim Thoa
1029	2	1	38	5	8	2	85	Hµng hãa
1030	2	1	40	5	8	2	85	Broken Spear
1031	2	1	42	5	8	2	85	Bronze Piece
1032	2	1	44	5	8	2	91	Wine Cup
1033	2	1	26	5	8	2	91	¸m Yªn
1034	2	1	55	5	8	2	91	Tea Vase
1035	2	1	53	5	8	2	97	Di Tac Bell
1036	2	1	63	5	8	2	97	Hook
1037	2	1	46	5	8	3	103	BÝnh Méc Bµi
1038	2	1	57	5	8	3	109	Hép trang søc
1039	2	1	69	5	8	3	109	Hoµng Kim Ban ChØ
1040	2	1	68	5	8	3	116	Acupuncture Bronze Figure
1041	2	1	61	5	8	3	116	Iron Chain
1042	2	1	66	5	8	3	116	DÜ Méc Bµi
1043	2	1	65	5	8	3	124	Goatskin Wine Gourd
1044	2	1	49	5	8	3	124	ThÇn Ma chÝ
1045	2	1	50	5	8	3	124	Thñ Cèt
1046	2	1	62	5	8	3	133	Land Soul
1047	2	1	64	5	8	3	133	MËu Méc Bµi
1048	2	1	67	3	8	3	142	§¹i Tèng ®Þa chÝ
1049	2	1	45	3	8	3	142	Snow Soul
1050	2	1	59	3	8	3	142	§inh Méc Bµi
1051	2	1	52	3	8	3	153	Tram Wine
1052	2	1	47	3	8	3	153	Iron Fork
1053	2	1	51	3	8	3	165	U Hån
1054	2	1	54	3	8	3	178	Gold Brocade
1055	2	1	60	3	8	3	178	Goatskin Wine Gourd
1056	2	1	81	3	8	3	193	B¹ch V©n b«i
1057	2	1	85	3	8	3	193	Quý Méc Bµi
1058	2	1	83	3	8	4	205	Nh©m Méc Bµi
1059	2	1	70	3	8	4	226	Canh Méc Bµi
1060	2	1	77	3	8	4	226	T©n Méc Bµi
1061	2	1	71	3	8	4	239	Iron Bagua
1062	2	1	73	3	8	4	254	Trident
1063	2	1	76	3	8	4	270	Peony
1064	2	1	78	3	8	4	270	Hung Van
1065	2	1	80	3	8	4	309	KiÕm Hån
1066	2	1	96	3	8	4	331	Compass Fish
1067	2	1	89	3	8	4	356	Te Nguu Bow
1068	2	1	94	3	5	4	382	Ta Phat Thumb Ring
1069	2	1	88	3	5	4	388	B×nh Ngäc
1070	2	1	98	3	5	4	399	Khe Son Mark
1071	2	1	93	3	5	4	413	Vßng B¹ch Ngäc
1072	2	1	97	3	5	4	413	Treatise on Cold Damage
1073	2	1	92	3	5	4	501	Quû Hån
1074	2	1	87	3	5	4	532	Ngäc Nh­ ý
1075	2	1	106	3	5	4	566	Qilin Scale
1076	2	1	116	1	1	5	2188	X­¬ng rång
1077	2	1	114	1	1	5	6000	T¬ kh¸ng Thñy
1078	2	1	117	1	1	5	8563	Tóy Tiªn Cóc
1079	2	1	120	1	1	5	10120	Qu¶n Tö
1080	2	1	121	1	1	5	14417	Tói Phi Ng­
1081	2	1	122	1	1	5	12000	B×nh Song Tinh
1082	2	1	132	1	1	5	15031	DiÒu
1083	2	1	130	1	1	5	17750	ChÊn Thiªn TuyÕt
1084	2	1	131	1	1	5	19413	Tµng B¶o §å
1085	2	1	125	1	1	5	21250	Tô Hån ®Ønh
1086	2	1	136	1	1	5	23250	DÇu ®en
1087	2	1	133	1	1	5	26875	Puppet
1088	2	1	138	1	1	5	29062	B¶n ch÷ TÊt Th¨ng
1089	2	1	140	1	1	5	31875	Khe Son Mark
1090	2	1	137	1	1	5	55500	Tr­êng Thµnh KÝnh
