SurnameID	Text
T×m tªn	Hä tªn
1	Li
2	V­¬ng
3	Tr­¬ng
4	Liu
5	Chen
6	D­¬ng
7	Zhao
8	Hoµng
9	Chu
10	Wu
11	Tu
12	T«n
13	Pu
14	Chu
15	Cao
16	Lin
17	He
18	Guo
19	Horse
20	La 
21	Liang
22	Tèng
23	Zheng
24	Xie
25	Han
26	Tang
27	Feng
28	Vu
29	Dong
30	Xiao
31	Cheng
32	Cao
33	Viªn
34	Deng
35	Xu
36	Fu
37	Shen
38	T¨ng
39	Peng
40	Lu
41	Su
42	Lu
43	 Xiang
44	Th¸i
45	Jia
46	Ding
47	Wei
48	Xue
49	Ye
50	Yan
51	Xa
52	Phan
53	Da
54	Dai
55	Xia
56	Chung
57	Wang
58	Tian
59	Ren
60	Jiang
61	Fan
62	Faction
63	Th¹ch
64	Yao
65	Tan
66	Liªu
67	Tr©u
68	Xiong
69	 Kim 
70	Lu
71	Hao
72	Kong
73	B¹ch
74	Cui
75	khang
76	Mao
77	Qiu
78	Qin
79	Giang
80	Shi
81	Gu
82	Hou
83	ThiÖu
84	Meng
85	Long
86	V¹n 
87	Duan
88	Zhang
89	TiÒn
90	Thang
91	Yin
92	Li
93	 Yi
94	Common
95	Wu
96	Yin
97	Xia
98	Lai
99	Cung
100	T©n
