Index	Level	Genre	Detail	Particular	Text			
Tra cøu vËt phÈm	§¼ng cÊp vËt phÈm	Lo¹i lín	Lo¹i phô	Lo¹i nhá	Tªn vËt phÈm			
1000	50	0	101	251	Kim Cang D­¬ng Trang			
1001	70	0	101	271	Kim Cang Dao Trang			
1002	50	0	101	252	Kim Cang D­¬ng Trang			
1003	70	0	101	272	Kim Cang Dao Trang			
1004	50	0	103	251	Kim Cang D­¬ng Qu¸n			
1005	70	0	103	271	Vajra Saber, headgear			
1006	50	0	103	252	Kim Cang D­¬ng Qu¸n			
1007	70	0	103	272	Vajra Saber, headgear			
1008	50	0	100	251	Kim Cang D­¬ng Th­êng			
1009	70	0	100	271	Vajra Saber, common			
1010	50	0	100	252	Kim Cang D­¬ng Th­êng			
1011	70	0	100	272	Vajra Saber, common			
1012	50	0	102	251	Kim Cang D­¬ng Béi			
1013	70	0	102	271	Vajra Saber, belt			
1014	50	0	102	252	Kim Cang D­¬ng Béi			
1015	70	0	102	272	Vajra Saber, belt			
1016	50	0	3	251	Kim Cang D­¬ng §ao			
1017	70	0	3	271	Kim Cang Dao §ao			
1018	50	0	3	252	Kim Cang D­¬ng §ao			
1019	70	0	3	272	Kim Cang Dao §ao			
1020	50	0	5	251	Kim Cang D­¬ng C«n			
1021	70	0	5	271	Kim Cang Dao C«n			
1022	50	0	5	252	Kim Cang D­¬ng C«n			
1023	70	0	5	272	Kim Cang Dao C«n			
1024	50	0	101	351	Nh­ Lai D­¬ng Trang			
1025	70	0	101	371	Tathagata Saber, attire			
1026	50	0	101	352	Nh­ Lai D­¬ng Trang			
1027	70	0	101	372	Tathagata Saber, attire			
1028	50	0	103	351	Nh­ Lai D­¬ng Qu¸n			
1029	70	0	103	371	Tathagata Saber, headgear			
1030	50	0	103	352	Nh­ Lai D­¬ng Qu¸n			
1031	70	0	103	372	Tathagata Saber, headgear			
1032	50	0	100	351	Nh­ Lai D­¬ng Th­êng			
1033	70	0	100	371	Tathagata Saber, common			
1034	50	0	100	352	Nh­ Lai D­¬ng Th­êng			
1035	70	0	100	372	Tathagata Saber, common			
1036	50	0	102	351	Nh­ Lai D­¬ng Béi			
1037	70	0	102	371	Tathagata Saber, belt			
1038	50	0	102	352	Nh­ Lai D­¬ng Béi			
1039	70	0	102	372	Tathagata Saber, belt			
1040	50	0	8	351	Nh­ Lai D­¬ng Tr­îng			
1041	70	0	8	371	Tathagata Saber, staff			
1042	50	0	8	352	Nh­ Lai D­¬ng Tr­îng			
1043	70	0	8	372	Tathagata Saber, staff			
1044	50	0	101	451	La H¸n D­¬ng Trang			
1045	70	0	101	471	Arhat Saber, attire			
1046	50	0	101	452	La H¸n D­¬ng Trang			
1047	70	0	101	472	Arhat Saber, attire			
1048	50	0	103	451	La H¸n D­¬ng Qu¸n			
1049	70	0	103	471	Arhat Saber, headgear			
1050	50	0	103	452	La H¸n D­¬ng Qu¸n			
1051	70	0	103	472	Arhat Saber, headgear			
1052	50	0	100	451	La H¸n D­¬ng Th­êng			
1053	70	0	100	471	Arhat Saber, common			
1054	50	0	100	452	La H¸n D­¬ng Th­êng			
1055	70	0	100	472	Arhat Saber, common			
1056	50	0	102	451	La H¸n D­¬ng Béi			
1057	70	0	102	471	Arhat Saber, belt			
1058	50	0	102	452	La H¸n D­¬ng Béi			
1059	70	0	102	472	Arhat Saber, belt			
1060	50	0	0	451	La H¸n D­¬ng Thñ			
1061	70	0	0	471	La H¸n Dao Thñ			
1062	50	0	0	452	La H¸n D­¬ng Thñ			
1063	70	0	0	472	La H¸n Dao Thñ			
1064	50	0	101	651	HiÖp Kh¸ch D­¬ng Trang			
1065	70	0	101	671	Knight-Errant Saber, attire			
1066	50	0	101	652	HiÖp Kh¸ch D­¬ng Trang			
1067	70	0	101	672	Knight-Errant Saber, attire			
1068	50	0	101	653	HiÖp Kh¸ch D­¬ng Trang			
1069	70	0	101	673	Knight-Errant Saber, attire			
1070	50	0	101	654	HiÖp Kh¸ch D­¬ng Trang			
1071	70	0	101	674	Knight-Errant Saber, attire			
1072	50	0	103	651	HiÖp Kh¸ch D­¬ng Qu¸n			
1073	70	0	103	671	Knight-Errant Saber, headgear			
1074	50	0	103	652	HiÖp Kh¸ch D­¬ng Qu¸n			
1075	70	0	103	672	Knight-Errant Saber, headgear			
1076	50	0	103	653	HiÖp Kh¸ch D­¬ng Qu¸n			
1077	70	0	103	673	Knight-Errant Saber, headgear			
1078	50	0	103	654	HiÖp Kh¸ch D­¬ng Qu¸n			
1079	70	0	103	674	Knight-Errant Saber, headgear			
1080	50	0	100	651	HiÖp Kh¸ch D­¬ng Th­êng			
1081	70	0	100	671	Knight-Errant Saber, common			
1082	50	0	100	652	HiÖp Kh¸ch D­¬ng Th­êng			
1083	70	0	100	672	Knight-Errant Saber, common			
1084	50	0	100	653	HiÖp Kh¸ch D­¬ng Th­êng			
1085	70	0	100	673	Knight-Errant Saber, common			
1086	50	0	100	654	HiÖp Kh¸ch D­¬ng Th­êng			
1087	70	0	100	674	Knight-Errant Saber, common			
1088	50	0	102	651	HiÖp Kh¸ch D­¬ng Béi			
1089	70	0	102	671	Knight-Errant Saber, belt			
1090	50	0	102	652	HiÖp Kh¸ch D­¬ng Béi			
1091	70	0	102	672	Knight-Errant Saber, belt			
1092	50	0	102	653	HiÖp Kh¸ch D­¬ng Béi			
1093	70	0	102	673	Knight-Errant Saber, belt			
1094	50	0	102	654	HiÖp Kh¸ch D­¬ng Béi			
1095	70	0	102	674	Knight-Errant Saber, belt			
1096	50	0	1	651	HiÖp Kh¸ch D­¬ng Ch©m			
1097	70	0	1	671	Knight-Errant Saber, needle			
1098	50	0	1	652	HiÖp Kh¸ch D­¬ng Ch©m			
1099	70	0	1	672	Knight-Errant Saber, needle			
1100	50	0	1	653	HiÖp Kh¸ch D­¬ng Ch©m			
1101	70	0	1	673	Knight-Errant Saber, needle			
1102	50	0	1	654	HiÖp Kh¸ch D­¬ng Ch©m			
1103	70	0	1	674	Knight-Errant Saber, needle			
1104	50	0	101	853	Quan ¢m D­¬ng Trang			
1105	70	0	101	873	Guanyin Saber, attire			
